gps_code,latitude_gps,longitude_gps
VC-0019-4530,7.14512,0.46468
GE-043-4674,5.71797146, -0.21799855
GE-004-5858,5.73973078, -0.20398483
GE-043-5314,5.71976980, -0.21768414
GE-044-6335,5.71621806, -0.21723498
GE-043-0933,5.72062401, -0.21966043
GE-043-4885,5.71846600, -0.21790872
GE-043-4867,5.71765674, -0.21790872
GE-044-7278,5.71365539, -0.21683074
GE-043-6002,5.71923030, -0.21736973
GE-043-5822,5.72012947, -0.21745956
GE-059-6754,5.72156814, -0.22154689
GE-043-9602,5.71923030, -0.22024434
GK-0745-3043,5.84693413, -0.10642779
GL-011-5195,5.56601948, -0.15938348
GD-009-1766,5.70861990, -0.16540219
GN-0600-1715,5.75128423, 0.02773560
GN-1102-6641,5.78841450, -0.00150456
GM-092-8498,5.71455457, -0.18035914
GN-1024-1609,5.77349094, 0.00074122
GK-0924-7889,5.82203519, -0.12223814
GI-306-4187,5.59714446, -0.23618944
GA-287-6909,5.62961539, -0.17204973
GM-250-3926,5.79223519, -0.13746458
GE-059-8165,5.72206268, -0.22091807
