ISP,Site[End User],Industry,Region,Town,NRC (GHS),MRC (GHS),ACV (GHS),TCV (GHS),Service,Bandwidth (MBPS),Recovery Rate (Mths),Build Cost (GHS),Distance (m),Rate Per Month,Ex Rate,Backhaul Route,No of Sites,Probability,Weighted Forecast,Current Period Stage,Forecasted Closure Month,Date of Last Action,What Is Done So Far,Date of Next Action,What Is Next,Latitude,Longitude,Account Manager,Initial Request Date,Net Setup (GHS),Service Request Date,gps_code,latitude_clean,longitude_clean,gps_code_norm,latitude_gps,longitude_gps,lat_final,lon_final,coord_status,date,date_source,date_missing_flag,year,month,week,deal_age_days,expected_revenue,revenue_per_meter,build_cost_ratio,payback_months,revenue_per_mbps,deal_size,distance_category,monthly_revenue_per_meter,distance_zero_flag,tcv_zero_flag,invalid_recovery_flag,deal_status,rev_score,prob_score,payback_score,distance_score,deal_score,deal_category
GVA,PAIX - Paga Route 1,Unknown,Upper East,Paga,0.0,318658.57999999996,3823902.9599999995,11471708.879999999,DF,0.0,191.2289636136583,60936750.0,1160700.0,3.5,15.0,,1.0,1.0,11471708.879999999,06-Closed Won,April,,Quote has been shared,,nan,nan,nan,Bismark Isaac,,,,,,,,,,,,invalid,,Missing,True,,NaT,,,11471708.879999999,9.883440062031532,5.311915655934952,191.22896361365827,,Enterprise,Backhaul (50km+),0.2745400017230981,False,False,False,Closed Won,1.0,1.0,0.2,0.1,49.5,Low Quality
Iklick,CTVET,Education,Greater Accra,East Legon,4000.0,3500.0,46000.0,130000.0,L2,100.0,2.857142857142857,14000.0,250.0,3.5,16.0,,1.0,1.0,130000.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,,,,,,,,,,,,invalid,,Missing,True,,NaT,,,130000.0,520.0,0.1076923076923077,4.0,35.0,Medium,Last Mile (<500m),14.0,False,False,False,Closed Won,0.724393208911286,1.0,1.0,1.0,91.73179626733857,High Quality
Iklick,Efanest ADB Diamond House,Unknown,Greater Accra,Tema,4000.0,3200.0,42400.0,119200.0,L2,150.0,4.0,16800.0,300.0,3.5,16.0,,1.0,1.0,119200.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,,,,,,,,,,,,invalid,,Missing,True,,NaT,,,119200.0,397.3333333333333,0.14093959731543623,5.25,21.333333333333332,Medium,Last Mile (<500m),10.666666666666666,False,False,False,Closed Won,0.7190576879186767,1.0,1.0,1.0,91.57173063756031,High Quality
Coli Link,Pizzaman Atomic Madina,Food,Greater Accra,Atomic,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Teshie Bush Road,Food,Greater Accra,Teshie,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Comm 25.,Food,Greater Accra,Tema Comm 25,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Dome,Food,Greater Accra,Dome,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman oyarifa,Food,Greater Accra,Oyarifa,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman lake side,Food,Greater Accra,Lake Side,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman East Legon,Food,Greater Accra,East Legon,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman SPintex,Food,Greater Accra,Sointex,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Lashibi,Food,Greater Accra,Lashibi,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Adenta Rowi,Food,Greater Accra,Adenta,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Kotobaabi,Food,Greater Accra,Kotobaabi,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Amrahia,Food,Greater Accra,Amrahia,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Legon Drive Through,Food,Greater Accra,Legon Drive Through,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Tema Comm. 7,Food,Greater Accra,Tema Comm. 7,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Tema Comm. 10,Food,Greater Accra,Tema Comm 10,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman LA Palmwine,Food,Greater Accra,LA Palmwine,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Dzowulo,Food,Greater Accra,Dzorwulu,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Tesano,Food,Greater Accra,Tesano,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Labone,Food,Greater Accra,Labone,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Mile 7,Food,Greater Accra,Mile 7,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Ashiaman,Food,Greater Accra,Ashiaman,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
Coli Link,Pizzaman Lapaz,Food,Greater Accra,Lapaz,1000.0,400.0,5800.0,15400.0,L2,15.0,-2.5,0.0,,3.5,16.0,,1.0,1.0,15400.0,06-Closed Won,January,,Order has been shared with project ,,nan,nan,nan,Bismark Isaac,2024-11-12,,,,,,,,,,,invalid,2024-11-12,Initial,False,2024.0,2024-11,46,497.0,15400.0,,0.0,,26.666666666666668,Small,,,False,False,True,Closed Won,0.5931684826506985,1.0,,0.0,,High Risk
